Date,Price
01-Apr-1999,2.15
01-Mar-1999,1.79
01-Feb-1999,1.77
01-Jan-1999,1.85
01-Dec-1998,1.72
01-Nov-1998,2.12
01-Oct-1998,1.91
01-Sep-1998,2.02
01-Aug-1998,1.85
01-Jul-1998,2.17
01-Jun-1998,2.17
01-May-1998,2.14
01-Apr-1998,2.43
01-Mar-1998,2.24
01-Feb-1998,2.23
01-Jan-1998,2.09
01-Dec-1997,2.35
01-Nov-1997,3.01
01-Oct-1997,3.07
01-Sep-1997,2.88
01-Aug-1997,2.49
01-Jul-1997,2.19
01-Jun-1997,2.2
01-May-1997,2.25
01-Apr-1997,2.03
01-Mar-1997,1.89
01-Feb-1997,2.15
01-Jan-1997,3.45
